experiment_id,wandb_run_id,date,script,method,dataset,model,num_classes,num_images_per_class,learning_rate,num_train_epochs,batch_size,gradient_accumulation_steps,effective_batch_size,warmup_ratio,lr_scheduler_type,weight_decay,label_smoothing,freeze_through_stage,distillation_alpha,distillation_temperature,bf16,torch_compile,seed,total_params,trainable_params,trainable_pct,train_runtime_sec,train_samples_per_sec,train_loss,best_val_epoch,best_val_accuracy,best_val_f1,test_accuracy,test_f1,test_precision,test_recall,test_loss,hardware,wandb_project,wandb_url
exp001,kcbku6b3,2025-03-25,huggingFaceTemplate.py,full_finetune,zkdeng/spiderTraining5-100,facebook/convnextv2-tiny-22k-384,5,100,5e-05,5,32,1,32,0.1,linear,0.0,0.0,-1,,,True,True,42,27870341,27870341,100.0,59.3,33.47,0.5235,2,0.94,0.94,0.86,0.8576,0.86,0.86,0.5254,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/kcbku6b3
exp002,xss8amf4,2025-03-25,huggingFaceTemplate.py,full_finetune,zkdeng/spiderTraining5-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,5,100,5e-05,5,32,1,32,0.1,linear,0.0,0.0,-1,,,True,True,42,87697925,87697925,100.0,50.4,39.38,0.5023,2,0.98,0.98,0.96,0.9587,0.9636,0.96,0.307,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/xss8amf4
exp003,w0zcy8kh,2025-03-25,huggingFaceTemplate.py,full_finetune,zkdeng/spiderTraining100-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,100,100,5e-05,5,32,1,32,0.1,linear,0.0,0.0,-1,,,True,True,42,87795300,87795300,100.0,208.4,191.9,1.154,3,0.955,0.9543,0.946,0.9456,0.9511,0.946,0.2743,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/w0zcy8kh
exp004,o60ugr0w,2025-03-26,huggingFaceTemplate.py,full_finetune,zkdeng/spiderTraining100-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,100,100,5e-04,10,32,4,128,0.1,linear,0.0,0.0,-1,,,True,True,42,87795300,87795300,100.0,293.2,272.8,0.5017,10,0.957,0.9564,0.957,0.957,0.9616,0.957,0.1579,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/o60ugr0w
exp005,b8vsslcd,2025-03-26,huggingFaceTemplate.py,full_finetune,zkdeng/spiderTraining100-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,100,100,5e-04,25,32,4,128,0.1,linear,0.0,0.0,-1,,,True,True,42,87795300,87795300,100.0,727.0,,,25,0.954,0.9538,0.96,0.9598,0.9643,0.96,0.1534,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/b8vsslcd
exp006,5ciajlj6,2025-03-26,huggingFacePartialFreeze.py,partial_freeze,zkdeng/spiderTraining100-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,100,100,5e-04,25,32,4,128,0.1,linear,0.0,0.0,2,,,True,False,42,87795300,27569252,31.4,618.8,,,6,0.974,0.974,0.974,0.974,0.9771,0.974,0.1139,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/5ciajlj6
exp007,fm76b8wx,2025-03-27,huggingFaceDistillation.py,knowledge_distillation,zkdeng/spiderTraining100-100,zkdeng/10-convnextv2-base-22k-384-finetuned-spiderTraining1000-1000,100,100,5e-04,25,32,4,128,0.1,linear,0.0,0.0,2,0.5,3.0,True,False,42,87795300,27569252,31.4,1299.0,,,12,0.92,0.9111,0.92,0.9111,0.9372,0.92,0.4658,NVIDIA GeForce RTX 5090,spidersML,https://wandb.ai/zkdeng-university-of-arizona/spidersML/runs/fm76b8wx
